code_col,lib_col,code_ou_libelle_valeurs
IPONDL,poids_du_logement,CODE
COMMUNE,code_commune_insee,CODE
IRIS,code_iris,CODE
REGION,region_residence,LIB
AGEMEN8,age_regroupe_pr_menage,LIB
DIPLM,diplome_pr,LIB
INPAM,personnes_actives_menage,CODE
INPER,personnes_menage,CODE
INPER1,personnes_masculin_menage,CODE
INPER2,personnes_feminin_menage,CODE
INPOM,personnes_actives_ayant_emploi_menage,CODE
INPSM,personnes_scolarisees_menage,CODE
EMPLM,condition_empoi_pr,LIB
ILETUDM,lieu_etudes_pr,LIB
ILTM,lieu_travail_pr,LIB
IMMIM,situation_immigration_pr,LIB
INAIM,lieu_naissance_pr,LIB
INEEM,personnes_scolarise_plus_14_menage,CODE
INP11M,personnes_moins_11_ans_menage,CODE
INP15M,personnes_moins_15_ans_menage,CODE
INP17M,personnes_moins_17_ans_menage,CODE
INP19M,personnes_moins_19_ans_menage,CODE
INP24M,personnes_moins_24_ans_menage,CODE
INP3M,personnes_moins_3_ans_menage,CODE
INP5M,personnes_moins_5_ans_menage,CODE
INP60M,personnes_plus_60_ans_menage,CODE
INP65M,personnes_plus_65_ans_menage,CODE
INP75M,personnes_plus_75_ans_menage,CODE
IRANM,residence_annee_avant_pr,LIB
TACTM,type_activite_pr,LIB
TPM,temps_travail_pr,LIB
VOIT,nombre_voitures_menage,LIB
TRANSM,mode_transport_plus_utilise_travail_pr,LIB
SEXEM,sexe_pr,LIB
STAT_CONJM,status_conjugal_pr,LIB
RECHM,anciennete_recherche_emploi_pr,LIB
STOCD,status,LIB
