code_col,lib_col,code_ou_libelle_valeurs
IPONDL,poids_du_logement,CODE
COMMUNE,code_commune_insee,CODE
IRIS,code_iris_incomplet,CODE
ACHL,achevement_construction_logement,LIB
AEMMR,annee_regroupe_ammenagement_logement,LIB
ANEMR,aciennete_regroupe_ammenagement_logement,LIB
ASCEN,desserte_ascensseur,LIB
CATL,categorie_logement,LIB
GARL,emplacement_stationnement_reserve,LIB
HLML,logement_hml,LIB
METRODOM,residence_metropole_ou_dom,LIB
NBPI,nombre_pieces_logement,CODE
REGION,region_residence,LIB
SURF,superficie_logement,LIB
TYPC,type_construction,LIB
TYPL,type_logement,LIB
WC,presence_wc_interieur_logement__dom
CHFL,chauffage_central_logement__metro,LIB
CMBL,combustible_principal_logement__metro,LIB
BAIN,baignoire_ou_douche__dom,LIB
BATI,aspect_bati__dom,LIB
CHAU,chauffage_logement__dom,LIB
CHOS,chauffe_eau_solaire__dom,LIB
CLIM,min_une_piece_climatise__dom,LIB
CUIS,cuisine_interieur_avec_evier__dom,LIB
DEROU,nombre_deux_roues_menage__dom,LIB
EAU,eau_potabke_interieur_logement__dom,LIB
EGOUL,mode_evacuation_eaux_usagers__dom,LIB
ELEC,electricite_logement__dom,LIB
SANI,installation_sanitaires__metro,LIB
SANIDOM,installation_sanitaires__dom,LIB
